Metropolitan_Statistical_Area,S_0,I_0,m_b,rel_E,rel_A,k_L,k_Q,j_Q,f_A,f_H,f_R,c_A,c_I,c_H,t_0,t_delta,t_delta2,t_delta3,b,lambda_0,p_0,lambda_1,p_1,lambda_2,p_2,f_D,r
"New Haven-Milford, CT MSA",854757,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,47.1814587989056,2.0195380335018,,,1.0545402991547,0.0883543066155096,0.869849708740426,,,,,0.953943716991821,2.72259880877608
"Oxnard-Thousand Oaks-Ventura, CA MSA",846006,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.3205946516444,25.2066340783141,,,0.353094839900785,4.66419246263165,0.383990061670843,,,,,0.928124311619957,4.6029259665917
"El Paso, TX MSA",844124,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,43.5374621272645,17.2022183192617,,,0.383940858484262,0.0920565988420216,0.546890440693577,,,,,0.986530468262534,1.87873265875304
"Allentown-Bethlehem-Easton, PA-NJ MSA",844052,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,41.3964184884223,25.7010782820766,,,0.480535738720963,0.533938601187221,0.58861104558983,,,,,0.952617702217115,10.4577846442539
"Columbia, SC MSA",838433,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,32.1595316985592,21.4084331291345,67.545880709053,,0.404888804008572,0.113634081304743,0.593779781875238,5.6497411210186,0.345574383557362,,,0.543327406759698,6.64690789852668
"North Port-Sarasota-Bradenton, FL MSA",836995,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,32.7990917703424,35.1493543057661,68.6919520460599,,0.312998931775861,3.01544461385854,0.373361179636761,4.58886810503018,0.0894235307699892,,,0.99715665598021,6.23610493058323
"Dayton-Kettering, OH MSA",807611,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,52.2991998187793,3.23009649944391,,,1.70071189278127,0.477928096994631,0.826959093306053,,,,,0.951492784371232,2.32733906731142
"Charleston-North Charleston, SC MSA",802122,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,37.2436818223526,24.0947671342648,52.744853238145,,0.495414247134632,0.40672545043004,0.618189804938304,2.0614939337948,0.358388081824143,,,0.120325140358946,3.19259637351395
"Greensboro-High Point, NC MSA",771851,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,51.2922992782583,1.6091540818654,,,4.30987622395717,0.476348769814707,0.923054106911914,,,,,0.0492743902944649,5.53864542684594
"Cape Coral-Fort Myers, FL MSA",770577,1,0.1,1.1,0.9,0.94,0.0038,0.4,0.44,0.054,0.79,0.26,0.12,0.17,36.7626132739868,27.8321655122649,42.6580641169721,,0.378192350116406,0.563517619323484,0.483738613350929,0.266191435567836,0.412921407865532,,,0.685247699669476,4.09874469241047
